code,name,symptoms
312,Acute glaucoma,"{'Diminished vision': '62', 'Pain in eye': '41', 'Symptoms of eye': '36', 'Eye redness': '28', 'Spots or clouds in vision': '22', 'Foreign body sensation in eye': '18', 'Itchiness of eye': '18', 'Blindness': '10', 'Lacrimation': '5', 'Double vision': '5', 'Eye burns or stings': '5'}"
313,Open wound of the chest,"{'Sharp chest pain': '29', 'Drug abuse': '12', 'Lip swelling': '12'}"
314,Dislocation of the patella,"{'Knee pain': '90', 'Knee swelling': '22', 'Fluid retention': '12', 'Problems during pregnancy': '12', 'Knee stiffness or tightness': '12'}"
315,Sciatica,"{'Back pain': '81', 'Leg pain': '81', 'Low back pain': '76', 'Hip pain': '56', 'Lower body pain': '49', 'Loss of sensation': '28', 'Problems with movement': '11', 'Paresthesia': '11', 'Leg weakness': '6', 'Back cramps or spasms': '4', 'Leg cramps or spasms': '3', 'Unusual color or odor to urine': '2'}"
316,Hypercalcemia,"{'Weakness': '39', 'Dizziness': '28', 'Loss of sensation': '20', 'Feeling ill': '11', 'Hand or finger weakness': '11', 'Allergic reaction': '11', 'Arm cramps or spasms': '11', 'Focal weakness': '11', 'Retention of urine': '11', 'Delusions or hallucinations': '11', 'Irregular appearing nails': '11', 'Leg weakness': '11'}"
317,Stress incontinence,"{'Involuntary urination': '90', 'Frequent urination': '42', 'Painful urination': '23', 'Symptoms of bladder': '23', 'Blood in urine': '18', 'Retention of urine': '15', 'Suprapubic pain': '15', 'Hot flashes': '12', 'Pelvic pain': '12', 'Excessive urination at night': '12', 'Weight gain': '8', 'Intermenstrual bleeding': '8'}"
318,Varicose veins,"{'Skin lesion': '65', 'Leg pain': '50', 'Peripheral edema': '26', 'Ache all over': '24', 'Lymphedema': '22', 'Leg swelling': '20', 'Leg cramps or spasms': '6', 'Skin on leg or foot looks infected': '6', 'Leg lump or mass': '5'}"
319,Benign kidney cyst,"{'Side pain': '60', 'Sharp abdominal pain': '57', 'Blood in urine': '49', 'Vomiting': '44', 'Back pain': '44', 'Low back pain': '32', 'Involuntary urination': '23', 'Symptoms of the kidneys': '23', 'Drainage in throat': '13', 'Impotence': '13', 'Symptoms of prostate': '13', 'Decreased appetite': '13'}"
320,Hydrocele of the testicle,"{'Swelling of scrotum': '75', 'Pain in testicles': '68', 'Groin pain': '38', 'Mass in scrotum': '29', 'Lower abdominal pain': '23', 'Retention of urine': '19', 'Groin mass': '15', 'Excessive urination at night': '11', 'Blood in urine': '11', 'Symptoms of the scrotum and testes': '11', 'Skin growth': '11', 'Impotence': '11'}"
321,Degenerative disc disease,"{'Back pain': '78', 'Low back pain': '77', 'Leg pain': '61', 'Neck pain': '60', 'Hip pain': '31', 'Shoulder pain': '29', 'Ache all over': '29', 'Loss of sensation': '27', 'Arm pain': '22', 'Lower body pain': '15', 'Paresthesia': '12', 'Joint pain': '7'}"
322,Hirsutism,"{'Unwanted hair': '82', 'Unpredictable menstruation': '32', 'Acne or pimples': '32', 'Fatigue': '23', 'Infertility': '23', 'Abnormal appearing skin': '23', 'Weight gain': '23', 'Warts': '23', 'Skin moles': '23', 'Too little hair': '13', 'Heavy menstrual flow': '13', 'Apnea': '13'}"
323,Dislocation of the foot,"{'Foot or toe pain': '78', 'Vomiting': '37', 'Ankle pain': '37', 'Knee weakness': '37', 'Elbow weakness': '3', 'Elbow cramps or spasms': '3', 'Eye strain': '3', 'Low back weakness': '3', 'Wrist weakness': '3', 'Underweight': '3', 'Feeling hot and cold': '3', 'Muscle swelling': '3'}"
324,Hydronephrosis,"{'Side pain': '67', 'Sharp abdominal pain': '56', 'Back pain': '39', 'Nausea': '34', 'Vomiting': '32', 'Blood in urine': '23', 'Suprapubic pain': '23', 'Symptoms of the kidneys': '21', 'Lower abdominal pain': '21', 'Lower body pain': '10', 'Pain in testicles': '10', 'Symptoms of bladder': '10'}"
325,Diverticulosis,"{'Sharp abdominal pain': '70', 'Rectal bleeding': '40', 'Constipation': '40', 'Diarrhea': '37', 'Blood in stool': '34', 'Burning abdominal pain': '31', 'Nausea': '31', 'Vomiting': '25', 'Lower abdominal pain': '20', 'Melena': '13', 'Upper abdominal pain': '12', 'Heartburn': '10'}"
326,Pain after an operation,"{'Sharp abdominal pain': '68', 'Back pain': '64', 'Sharp chest pain': '61', 'Headache': '51', 'Nausea': '48', 'Vomiting': '44', 'Low back pain': '41', 'Toothache': '28', 'Leg pain': '28', 'Neck pain': '26', 'Side pain': '24', 'Lower abdominal pain': '22'}"
327,Huntington disease,"{'Constipation': '41', 'Problems with movement': '41', 'Depression': '41', 'Anxiety and nervousness': '41', 'Back pain': '41', 'Loss of sensation': '41', 'Sharp abdominal pain': '41', 'Drug abuse': '41', 'Symptoms of the face': '41', 'Elbow weakness': '3', 'Low back weakness': '3', 'Excessive growth': '3'}"
328,West Nile virus,"{'Pain in eye': '91', 'Shoulder cramps or spasms': '91', 'Facial pain': '91', 'Ankle pain': '91', 'Wrist pain': '91', 'Pain during pregnancy': '91', 'Excessive anger': '91', 'Joint stiffness or tightness': '91', 'Pain or soreness of breast': '91', 'Knee lump or mass': '91', 'Fatigue': '91', 'Excessive urination at night': '91'}"
329,Lymphoma,"{'Fatigue': '24', 'Neck mass': '5', 'Regurgitation': '4', 'Hoarse voice': '3', 'Muscle pain': '3', 'Mouth pain': '2', 'Symptoms of the kidneys': '2', 'Groin mass': '2', 'Mouth ulcer': '2', 'Stiffness all over': '1', 'Shoulder lump or mass': '1', 'Itchy ear(s)': '1'}"
330,Dermatitis due to sun exposure,"{'Abnormal appearing skin': '74', 'Skin lesion': '51', 'Skin rash': '45', 'Skin moles': '39', 'Skin dryness peeling scaliness or roughness': '27', 'Irregular appearing scalp': '24', 'Acne or pimples': '17', 'Skin growth': '17', 'Skin swelling': '13', 'Symptoms of the face': '9', 'Itchy scalp': '9', 'Lack of growth': '9'}"
331,Anemia due to chronic kidney disease,"{'Fatigue': '67', 'Weakness': '38', 'Shortness of breath': '24', 'Peripheral edema': '14', 'Ankle swelling': '10', 'Recent weight loss': '5', 'Polyuria': '5', 'Feeling cold': '5', 'Symptoms of the kidneys': '5', 'Melena': '5'}"
332,Injury to internal organ,"{'Sharp abdominal pain': '42', 'Side pain': '33', 'Sharp chest pain': '30', 'Rib pain': '30', 'Ache all over': '26', 'Back pain': '26', 'Blood in urine': '22', 'Retention of urine': '22', 'Pain of the anus': '12', 'Hurts to breath': '12', 'Lymphedema': '12', 'Frequent urination': '12'}"
333,Scleritis,"{'Pain in eye': '83', 'Eye redness': '76', 'Headache': '42', 'Lacrimation': '42', 'Spots or clouds in vision': '32', 'Cloudy eye': '19', 'Symptoms of eye': '19', 'Vaginal itching': '19', 'Pain during pregnancy': '19', 'Abnormal appearing skin': '19', 'Foreign body sensation in eye': '19', 'Abnormal involuntary movements': '19'}"
334,Pterygium,"{'Pain in eye': '56', 'Symptoms of eye': '56', 'Eye redness': '52', 'Diminished vision': '46', 'Itchiness of eye': '31', 'Lacrimation': '31', 'Foreign body sensation in eye': '27', 'Eye burns or stings': '27', 'Spots or clouds in vision': '15', 'Eyelid swelling': '8', 'Acne or pimples': '8', 'Irregular appearing scalp': '8'}"
335,Fungal infection of the skin,"{'Skin rash': '86', 'Itching of skin': '41', 'Abnormal appearing skin': '35', 'Skin lesion': '28', 'Irregular appearing scalp': '22', 'Skin swelling': '19', 'Too little hair': '15', 'Skin dryness peeling scaliness or roughness': '13', 'Itchy scalp': '12', 'Dry or flaky scalp': '12', 'Acne or pimples': '7', 'Irregular appearing nails': '7'}"
336,Insulin overdose,"{'Diarrhea': '40', 'Weakness': '40', 'Depressive or psychotic symptoms': '40', 'Wrist weakness': '3', 'Underweight': '3', 'Elbow weakness': '3', 'Nailbiting': '3', 'Emotional symptoms': '3', 'Feeling hot and cold': '3', 'Low back weakness': '3', 'Elbow cramps or spasms': '3', 'Excessive growth': '3'}"
337,Syndrome of inappropriate secretion of ADH (SIADH),"{'Dizziness': '77', 'Shoulder pain': '60', 'Neck pain': '60', 'Headache': '60', 'Fever': '60', 'Nausea': '60', 'Weakness': '60', 'Feeling ill': '60', 'Shoulder swelling': '6', 'Vulvar sore': '6', 'Eye strain': '6', 'Cross-eyed': '6'}"
338,Foreign body in the ear,"{'Ear pain': '70', 'Diminished hearing': '17', 'Bleeding from ear': '14', 'Fluid in ear': '11', 'Throat feels tight': '4', 'Skin irritation': '4', 'Irregular appearing scalp': '4', 'Throat irritation': '4', 'Hysterical behavior': '4'}"
339,Premenstrual tension syndrome,"{'Premenstrual tension or irritability': '64', 'Headache': '56', 'Unpredictable menstruation': '40', 'Back pain': '35', 'Long menstrual periods': '35', 'Depressive or psychotic symptoms': '28', 'Painful menstruation': '28', 'Vomiting': '28', 'Burning abdominal pain': '21', 'Heavy menstrual flow': '21', 'Lower abdominal pain': '21', 'Pelvic pain': '21'}"
340,Orbital cellulitis,"{'Swollen eye': '92', 'Eye redness': '82', 'Pain in eye': '69', 'Fever': '53', 'Symptoms of eye': '47', 'Eyelid swelling': '30', 'Peripheral edema': '30', 'Neck swelling': '18', 'Itching of skin': '18', 'Diminished vision': '18', 'Diminished hearing': '18', 'Facial pain': '18'}"
341,Injury to the leg,"{'Knee pain': '71', 'Foot or toe pain': '54', 'Ankle pain': '46', 'Leg pain': '38', 'Knee swelling': '23', 'Foot or toe swelling': '21', 'Ankle swelling': '13', 'Problems with movement': '12', 'Leg swelling': '11', 'Knee stiffness or tightness': '4', 'Irregular appearing nails': '3', 'Infant feeding problem': '1'}"
342,Hepatic encephalopathy,"{'Depressive or psychotic symptoms': '69', 'Sharp abdominal pain': '42', 'Shortness of breath': '36', 'Peripheral edema': '29', 'Fainting': '29', 'Weakness': '29', 'Fatigue': '22', 'Drug abuse': '22', 'Problems with movement': '22', 'Seizures': '22', 'Abusing alcohol': '22', 'Fluid retention': '12'}"
343,Bone cancer,"{'Low back pain': '31', 'Ache all over': '27', 'Back pain': '27', 'Leg pain': '27', 'Fatigue': '21', 'Peripheral edema': '15', 'Rib pain': '15', 'Problems with movement': '8', 'Joint pain': '8', 'Arm lump or mass': '8', 'Muscle pain': '8', 'Gum pain': '8'}"
344,Leishmaniasis,"{'Pain in eye': '91', 'Shoulder cramps or spasms': '91', 'Facial pain': '91', 'Ankle pain': '91', 'Wrist pain': '91', 'Pain during pregnancy': '91', 'Excessive anger': '91', 'Joint stiffness or tightness': '91', 'Pain or soreness of breast': '91', 'Knee lump or mass': '91', 'Fatigue': '91', 'Excessive urination at night': '91'}"
345,Chagas disease,"{'Pain in eye': '32', 'Shoulder cramps or spasms': '32', 'Facial pain': '32', 'Ankle pain': '32', 'Wrist pain': '32', 'Pain during pregnancy': '32', 'Excessive anger': '32', 'Joint stiffness or tightness': '32', 'Pain or soreness of breast': '32', 'Knee lump or mass': '32', 'Fatigue': '32', 'Excessive urination at night': '32'}"
346,Syringomyelia,"{'Back pain': '81', 'Shoulder pain': '64', 'Headache': '53', 'Neck pain': '53', 'Side pain': '36', 'Leg weakness': '36', 'Hand or finger swelling': '36', 'Fainting': '36', 'Pain or soreness of breast': '36', 'Foot or toe pain': '36', 'Shoulder swelling': '36', 'Arm stiffness or tightness': '36'}"
347,Pulmonary fibrosis,"{'Shortness of breath': '78', 'Cough': '62', 'Sharp chest pain': '39', 'Difficulty breathing': '37', 'Fever': '24', 'Fainting': '20', 'Coughing up sputum': '11', 'Itchiness of eye': '11', 'Chest tightness': '11', 'Hemoptysis': '11', 'Hurts to breath': '11', 'Palpitations': '11'}"
348,Mitral valve disease,"{'Sharp chest pain': '49', 'Palpitations': '42', 'Shortness of breath': '42', 'Fatigue': '35', 'Dizziness': '32', 'Chest tightness': '26', 'Increased heart rate': '12', 'Irregular heartbeat': '8', 'Weight gain': '8', 'Sweating': '4', 'Drainage in throat': '4', 'Nightmares': '2'}"
349,Parkinson disease,"{'Abnormal involuntary movements': '64', 'Problems with movement': '41', 'Disturbance of memory': '28', 'Dizziness': '25', 'Weakness': '22', 'Stiffness all over': '7', 'Leg weakness': '7', 'Focal weakness': '5', 'Muscle stiffness or tightness': '5', 'Difficulty speaking': '4', 'Leg stiffness or tightness': '3', 'Fears and phobias': '3'}"
350,Gout,"{'Foot or toe pain': '75', 'Knee pain': '48', 'Foot or toe swelling': '43', 'Ankle pain': '35', 'Wrist pain': '29', 'Hand or finger pain': '27', 'Hand or finger swelling': '16', 'Joint pain': '14', 'Ankle swelling': '13', 'Knee swelling': '10', 'Leg swelling': '9', 'Wrist swelling': '6'}"
351,Otitis media,"{'Ear pain': '86', 'Fever': '76', 'Cough': '71', 'Nasal congestion': '59', 'Sore throat': '41', 'Vomiting': '33', 'Redness in ear': '33', 'Pulling at ears': '32', 'Coryza': '30', 'Fluid in ear': '18', 'Diminished hearing': '15', 'Plugged feeling in ear': '14'}"
352,Drug abuse (opioids),"{'Drug abuse': '67', 'Depressive or psychotic symptoms': '46', 'Depression': '40', 'Anxiety and nervousness': '35', 'Abusing alcohol': '30', 'Insomnia': '13', 'Delusions or hallucinations': '8', 'Excessive anger': '6', 'Temper problems': '4', 'Antisocial behavior': '3', 'Low self-esteem': '3', 'Restlessness': '3'}"
353,Myelodysplastic syndrome,"{'Fatigue': '50', 'Chills': '11', 'Difficulty speaking': '6', 'Coughing up sputum': '6'}"
354,Fracture of the shoulder,"{'Shoulder pain': '85', 'Arm pain': '28', 'Bones are painful': '26', 'Arm stiffness or tightness': '10', 'Shoulder swelling': '8', 'Fluid retention': '8', 'Shoulder stiffness or tightness': '4', 'Changes in stool appearance': '2', 'Mass on ear': '2', 'Arm weakness': '2', 'Stiffness all over': '2', 'Neck swelling': '2'}"
355,Acute kidney injury,"{'Shortness of breath': '41', 'Weakness': '39', 'Vomiting': '30', 'Dizziness': '29', 'Nausea': '27', 'Sharp abdominal pain': '26', 'Sharp chest pain': '25', 'Kidney mass': '20', 'Symptoms of the kidneys': '18', 'Peripheral edema': '14', 'Blood in urine': '13', 'Retention of urine': '13'}"
356,Threatened pregnancy,"{'Spotting or bleeding during pregnancy': '79', 'Sharp abdominal pain': '69', 'Pain during pregnancy': '69', 'Uterine contractions': '67', 'Problems during pregnancy': '38', 'Lower abdominal pain': '35', 'Cramps and spasms': '28', 'Back pain': '24', 'Intermenstrual bleeding': '22', 'Pelvic pain': '18', 'Blood clots during menstrual periods': '10', 'Vaginal discharge': '8'}"
357,Intracranial abscess,"{'Seizures': '68', 'Fever': '58', 'Back pain': '58', 'Headache': '58', 'Low back pain': '58', 'Depressive or psychotic symptoms': '40', 'Leg pain': '40', 'Fatigue': '40', 'Neck pain': '40', 'Sharp chest pain': '40', 'Weakness': '40', 'Slurring words': '40'}"
358,Gum disease,"{'Toothache': '89', 'Gum pain': '53', 'Facial pain': '46', 'Peripheral edema': '44', 'Fever': '36', 'Ear pain': '26', 'Mouth ulcer': '25', 'Mouth pain': '25', 'Bleeding gums': '22', 'Pain in gums': '21', 'Lip swelling': '13', 'Jaw swelling': '11'}"
359,Open wound from surgical incision,"{'Skin lesion': '21', 'Skin swelling': '10', 'Recent pregnancy': '10', 'Knee swelling': '5', 'Flatulence': '5', 'Skin on leg or foot looks infected': '5', 'Heavy menstrual flow': '5', 'Sneezing': '5'}"
360,Gastrointestinal hemorrhage,"{'Blood in stool': '75', 'Rectal bleeding': '68', 'Sharp abdominal pain': '53', 'Melena': '51', 'Vomiting': '46', 'Diarrhea': '45', 'Vomiting blood': '43', 'Changes in stool appearance': '39', 'Weakness': '36', 'Nausea': '34', 'Dizziness': '33', 'Fainting': '19'}"
361,Seborrheic dermatitis,"{'Skin rash': '74', 'Skin dryness peeling scaliness or roughness': '49', 'Abnormal appearing skin': '47', 'Itching of skin': '40', 'Irregular appearing scalp': '38', 'Dry or flaky scalp': '34', 'Itchy scalp': '32', 'Acne or pimples': '32', 'Skin lesion': '28', 'Too little hair': '24', 'Skin growth': '16', 'Symptoms of the face': '14'}"
362,Drug abuse (methamphetamine),"{'Drug abuse': '66', 'Depressive or psychotic symptoms': '54', 'Anxiety and nervousness': '39', 'Depression': '39', 'Shortness of breath': '28', 'Delusions or hallucinations': '22', 'Fears and phobias': '22', 'Hostile behavior': '22', 'Abusing alcohol': '18', 'Palpitations': '14', 'Feeling ill': '10', 'Pain during pregnancy': '10'}"
363,Torticollis,"{'Neck pain': '89', 'Neck stiffness or tightness': '51', 'Headache': '50', 'Neck cramps or spasms': '47', 'Shoulder pain': '33', 'Back pain': '27', 'Arm pain': '27', 'Abnormal involuntary movements': '21', 'Throat swelling': '4', 'Cramps and spasms': '4', 'Leg weakness': '4', 'Shoulder lump or mass': '4'}"
364,Poisoning due to antihypertensives,"{'Depressive or psychotic symptoms': '52', 'Dizziness': '52', 'Itching of skin': '41', 'Skin rash': '41', 'Weakness': '41', 'Diarrhea': '26', 'Nausea': '26', 'Swollen tongue': '26', 'Focal weakness': '26', 'Sharp abdominal pain': '26', 'Feeling hot': '26', 'Allergic reaction': '26'}"
365,Tension headache,"{'Headache': '97', 'Neck pain': '51', 'Nausea': '36', 'Dizziness': '32', 'Anxiety and nervousness': '28', 'Chills': '11', 'Neck stiffness or tightness': '5', 'Painful menstruation': '5', 'Painful sinuses': '5', 'Symptoms of the face': '5', 'Bleeding from ear': '2', 'Back cramps or spasms': '2'}"
366,Alcohol intoxication,"{'Abusing alcohol': '79', 'Depressive or psychotic symptoms': '60', 'Vomiting': '41', 'Depression': '32', 'Sharp abdominal pain': '29', 'Sharp chest pain': '29', 'Anxiety and nervousness': '25', 'Nausea': '25', 'Fainting': '21', 'Abnormal involuntary movements': '21', 'Delusions or hallucinations': '17', 'Problems with movement': '17'}"
367,Scurvy,"{'Sharp abdominal pain': '91', 'Skin moles': '91', 'Knee lump or mass': '20', 'Excessive growth': '20', 'Pelvic pressure': '20', 'Vulvar sore': '20', 'Loss of sex drive': '20', 'Bedwetting': '20', 'Neck cramps or spasms': '20', 'Shoulder swelling': '20', 'Eye strain': '20', 'Joint stiffness or tightness': '20'}"
368,Narcolepsy,"{'Sleepiness': '79', 'Fatigue': '46', 'Apnea': '41', 'Headache': '36', 'Abnormal involuntary movements': '29', 'Shortness of breath': '29', 'Abnormal breathing sounds': '21', 'Insomnia': '21', 'Weight gain': '21', 'Temper problems': '12', 'Disturbance of memory': '12', 'Delusions or hallucinations': '12'}"
113,Food allergy,"{'Allergic reaction': '85', 'Skin rash': '62', 'Itching of skin': '38', 'Nasal congestion': '36', 'Vomiting': '31', 'Wheezing': '28', 'Cough': '28', 'Abnormal appearing skin': '23', 'Lip swelling': '20', 'Peripheral edema': '20', 'Sneezing': '20', 'Hand or finger swelling': '13'}"
114,Labyrinthitis,"{'Dizziness': '97', 'Nausea': '66', 'Vomiting': '61', 'Headache': '49', 'Weakness': '33', 'Ear pain': '33', 'Loss of sensation': '24', 'Diminished hearing': '21', 'Ringing in ear': '21', 'Plugged feeling in ear': '18', 'Sweating': '8', 'Spots or clouds in vision': '4'}"
115,Anxiety,"{'Anxiety and nervousness': '82', 'Depression': '43', 'Sharp chest pain': '38', 'Depressive or psychotic symptoms': '35', 'Shortness of breath': '29', 'Headache': '27', 'Insomnia': '24', 'Palpitations': '13', 'Abnormal involuntary movements': '12', 'Irregular heartbeat': '9', 'Fears and phobias': '6', 'Increased heart rate': '5'}"
116,Impulse control disorder,"{'Depressive or psychotic symptoms': '55', 'Anxiety and nervousness': '44', 'Hostile behavior': '44', 'Depression': '38', 'Excessive anger': '35', 'Temper problems': '27', 'Insomnia': '13', 'Obsessions and compulsions': '7', 'Delusions or hallucinations': '7', 'Excessive appetite': '4', 'Antisocial behavior': '4', 'Long menstrual periods': '4'}"
117,Stenosis of the tear duct,"{'Lacrimation': '68', 'Symptoms of eye': '47', 'Eye redness': '47', 'Nasal congestion': '41', 'Cough': '41', 'Abnormal movement of eyelid': '25', 'Skin rash': '25', 'Diaper rash': '25', 'Decreased appetite': '15', 'Eye burns or stings': '15', 'Eyelid swelling': '15', 'White discharge from eye': '15'}"
118,Abscess of nose,"{'Nasal congestion': '84', 'Cough': '73', 'Fever': '62', 'Coryza': '44', 'Sore throat': '31', 'Sinus congestion': '28', 'Ear pain': '24', 'Vomiting': '24', 'Headache': '24', 'Abnormal breathing sounds': '20', 'Irritable infant': '20', 'Decreased appetite': '20'}"
119,Omphalitis,"{'Irregular belly button': '86', 'Flatulence': '27', 'Irritable infant': '27', 'Diaper rash': '27', 'Jaundice': '27', 'Skin rash': '27', 'Low back weakness': '2', 'Back weakness': '2', 'Emotional symptoms': '2', 'Pus in sputum': '2', 'Elbow cramps or spasms': '2', 'Muscle swelling': '2'}"
120,Leukemia,"{'Fatigue': '26', 'Fever': '25', 'Mouth pain': '3', 'Pallor': '1', 'Muscle stiffness or tightness': '1', 'Symptoms of the kidneys': '1', 'Bleeding gums': '1'}"
121,Bell palsy,"{'Focal weakness': '82', 'Loss of sensation': '70', 'Symptoms of the face': '67', 'Headache': '51', 'Facial pain': '39', 'Weakness': '28', 'Peripheral edema': '24', 'Symptoms of eye': '21', 'Paresthesia': '19', 'Diminished vision': '19', 'Eyelid lesion or rash': '16', 'Abnormal involuntary movements': '16'}"
122,Conjunctivitis due to allergy,"{'Eye redness': '74', 'Itchiness of eye': '71', 'Pain in eye': '67', 'Lacrimation': '54', 'Nasal congestion': '45', 'Swollen eye': '42', 'Eye burns or stings': '37', 'Symptoms of eye': '34', 'Diminished vision': '32', 'Allergic reaction': '28', 'Cough': '26', 'Sneezing': '14'}"
123,Drug reaction,"{'Skin rash': '68', 'Allergic reaction': '52', 'Itching of skin': '40', 'Dizziness': '35', 'Peripheral edema': '34', 'Lip swelling': '33', 'Nausea': '33', 'Shortness of breath': '28', 'Headache': '27', 'Vomiting': '25', 'Abnormal appearing skin': '22', 'Throat swelling': '18'}"
124,Adrenal cancer,"{'Skin rash': '27', 'Dizziness': '27', 'Cough': '27', 'Diaper rash': '16', 'Sweating': '16', 'Chills': '16', 'Diminished hearing': '16', 'Nosebleed': '16'}"
125,Myopia,"{'Diminished vision': '72', 'Spots or clouds in vision': '31', 'Pain in eye': '27', 'Symptoms of eye': '23', 'Eye redness': '15', 'Foreign body sensation in eye': '9', 'Itchiness of eye': '9', 'Lacrimation': '9', 'Eye moves abnormally': '6', 'Blindness': '5', 'Eye deviation': '3', 'Abnormal movement of eyelid': '3'}"
126,Osteoarthritis,"{'Knee pain': '77', 'Hip pain': '41', 'Shoulder pain': '41', 'Back pain': '33', 'Leg pain': '31', 'Hand or finger pain': '26', 'Joint pain': '22', 'Knee swelling': '16', 'Ankle pain': '15', 'Elbow pain': '8', 'Muscle pain': '4', 'Knee weakness': '3'}"
127,Thyroid disease,"{'Neck mass': '19', 'Difficulty in swallowing': '14', 'Hot flashes': '6', 'Neck swelling': '6', 'Hostile behavior': '6', 'Lump in throat': '6', 'Too little hair': '3', 'Drainage in throat': '3', 'Double vision': '3', 'Throat feels tight': '3', 'Blindness': '3', 'Restlessness': '3'}"
128,Pharyngitis,"{'Cough': '88', 'Fever': '85', 'Sore throat': '80', 'Wheezing': '63', 'Difficulty in swallowing': '45', 'Hoarse voice': '45', 'Coryza': '45', 'Hurts to breath': '45', 'Sharp abdominal pain': '45', 'Nausea': '45', 'Ear pain': '45', 'Nasal congestion': '45'}"
129,Chronic rheumatic fever,"{'Shortness of breath': '52', 'Sharp chest pain': '42', 'Palpitations': '33', 'Difficulty breathing': '26', 'Dizziness': '26', 'Chest tightness': '15', 'Increased heart rate': '11', 'Drainage in throat': '6', 'Restlessness': '6', 'Throat feels tight': '6', 'Smoking problems': '6', 'Fluid in ear': '6'}"
130,Hypocalcemia,"{'Shortness of breath': '49', 'Sharp abdominal pain': '49', 'Loss of sensation': '43', 'Seizures': '43', 'Weakness': '43', 'Paresthesia': '43', 'Sharp chest pain': '43', 'Constipation': '36', 'Abnormal involuntary movements': '27', 'Diarrhea': '27', 'Nausea': '27', 'Leg weakness': '16'}"
131,Macular degeneration,"{'Diminished vision': '80', 'Spots or clouds in vision': '45', 'Symptoms of eye': '25', 'Pain in eye': '18', 'Lacrimation': '15', 'Blindness': '13', 'Itchiness of eye': '12', 'Foreign body sensation in eye': '11', 'Double vision': '8', 'Eye burns or stings': '8', 'Bleeding from eye': '6', 'Abnormal movement of eyelid': '3'}"
132,Pneumonia,"{'Cough': '82', 'Fever': '75', 'Shortness of breath': '69', 'Sharp chest pain': '46', 'Nasal congestion': '44', 'Difficulty breathing': '43', 'Vomiting': '41', 'Weakness': '29', 'Sore throat': '26', 'Wheezing': '25', 'Coryza': '23', 'Chills': '20'}"
133,Cold sore,"{'Skin rash': '50', 'Lip sore': '38', 'Mouth ulcer': '35', 'Fever': '35', 'Lip swelling': '31', 'Skin lesion': '31', 'Sore throat': '28', 'Vaginal itching': '15', 'Vaginal discharge': '14', 'Itching of skin': '14', 'Skin swelling': '14', 'Peripheral edema': '14'}"
134,Premature ventricular contractions (PVCs),"{'Palpitations': '73', 'Irregular heartbeat': '59', 'Sharp chest pain': '40', 'Fainting': '33', 'Shortness of breath': '24', 'Increased heart rate': '24', 'Difficulty breathing': '24', 'Chest tightness': '19', 'Sleepiness': '14', 'Apnea': '14', 'Impotence': '8', 'Back cramps or spasms': '8'}"
135,Chancroid,"{'Pain in eye': '32', 'Shoulder cramps or spasms': '32', 'Facial pain': '32', 'Ankle pain': '32', 'Wrist pain': '32', 'Pain during pregnancy': '32', 'Excessive anger': '32', 'Joint stiffness or tightness': '32', 'Pain or soreness of breast': '32', 'Knee lump or mass': '32', 'Fatigue': '32', 'Excessive urination at night': '32'}"
136,Testicular cancer,"{'Mass in scrotum': '36', 'Anxiety and nervousness': '27', 'Ache all over': '27', 'Nausea': '27', 'Groin pain': '16', 'Symptoms of the scrotum and testes': '16', 'Skin on arm or hand looks infected': '16', 'Blood in urine': '16', 'Chills': '16', 'Diminished hearing': '16', 'Pain in testicles': '16', 'Painful urination': '16'}"
137,Hydrocephalus,"{'Headache': '54', 'Seizures': '49', 'Vomiting': '29', 'Depressive or psychotic symptoms': '25', 'Problems with movement': '22', 'Difficulty speaking': '14', 'Paresthesia': '14', 'Focal weakness': '14', 'Disturbance of memory': '14', 'Abnormal involuntary movements': '14', 'Arm stiffness or tightness': '10', 'Lack of growth': '10'}"
138,Breast cancer,"{'Lump or mass of breast': '21', 'Pain or soreness of breast': '9', 'Hot flashes': '7', 'Bleeding or discharge from nipple': '2', 'Joint stiffness or tightness': '2'}"
139,Anemia due to malignancy,"{'Fatigue': '42', 'Shortness of breath': '35', 'Difficulty in swallowing': '15', 'Pain of the anus': '8', 'Nosebleed': '8', 'Vaginal pain': '8', 'Mouth pain': '8', 'Hot flashes': '8', 'Flatulence': '8'}"
140,Esophageal varices,"{'Burning abdominal pain': '41', 'Nausea': '41', 'Changes in stool appearance': '41', 'Dizziness': '26', 'Weakness': '26', 'Lower abdominal pain': '26', 'Sharp abdominal pain': '26', 'Difficulty in swallowing': '26', 'Melena': '26', 'Itching of skin': '26', 'Pain of the anus': '26', 'Decreased appetite': '26'}"
141,Endometrial cancer,"{'Vaginal bleeding after menopause': '76', 'Intermenstrual bleeding': '32', 'Pelvic pain': '15', 'Hot flashes': '15', 'Long menstrual periods': '15', 'Vaginal discharge': '10', 'Vaginal itching': '10', 'Cramps and spasms': '10', 'Unpredictable menstruation': '10', 'Infrequent menstruation': '6', 'Mass on vulva': '6', 'Absence of menstruation': '6'}"
142,Cystic Fibrosis,"{'Cough': '48', 'Feeling ill': '28', 'Decreased appetite': '11', 'Intermenstrual bleeding': '4', 'Hemoptysis': '4', 'Bleeding gums': '4', 'Spots or clouds in vision': '4', 'Sinus congestion': '4', 'Drainage in throat': '4', 'Muscle pain': '4'}"
